Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.3207    -334.7419       3.4212   362.6
0.0010        -331.3214    -334.6740       3.3526   355.3
0.0015        -331.3193    -334.5219       3.2026   339.4
0.0020        -331.3160    -334.3234       3.0074   318.7
0.0025        -331.3127    -334.1375       2.8248   299.4
0.0030        -331.3107    -334.0188       2.7081   287.0
0.0035        -331.3103    -333.9946       2.6843   284.5
0.0040        -331.3108    -334.0563       2.7455   291.0
0.0045        -331.3101    -334.1753       2.8652   303.6
0.0050        -331.3091    -334.3255       3.0164   319.7
0.0055        -331.3079    -334.4806       3.1726   336.2
0.0060        -331.3075    -334.6086       3.3011   349.8
0.0065        -331.3055    -334.6725       3.3669   356.8
0.0070        -331.3018    -334.6528       3.3511   355.1
0.0075        -331.2957    -334.5633       3.2675   346.3
0.0080        -331.2886    -334.4542       3.1656   335.5
0.0085        -331.2823    -334.3926       3.1103   329.6
0.0090        -331.2786    -334.4302       3.1516   334.0
0.0095        -331.2778    -334.5765       3.2987   349.6
0.0100        -331.2785    -334.7924       3.5139   372.4
0.0105        -331.2791    -335.0123       3.7332   395.6
0.0110        -331.2784    -335.1736       3.8952   412.8
0.0115        -331.2766    -335.2387       3.9620   419.9
0.0120        -331.2737    -335.2030       3.9293   416.4
0.0125        -331.2716    -335.0913       3.8197   404.8
0.0130        -331.2705    -334.9377       3.6672   388.6
0.0135        -331.2703    -334.7747       3.5043   371.4
0.0140        -331.2710    -334.6266       3.3556   355.6
0.0145        -331.2710    -334.5150       3.2441   343.8
0.0150        -331.2716    -334.4640       3.1924   338.3
0.0155        -331.2736    -334.4850       3.2114   340.3
0.0160        -331.2767    -334.5691       3.2924   348.9
0.0165        -331.2805    -334.6900       3.4096   361.3
0.0170        -331.2835    -334.8154       3.5320   374.3
0.0175        -331.2870    -334.9208       3.6338   385.1
0.0180        -331.2903    -334.9899       3.6996   392.1
0.0185        -331.2944    -335.0149       3.7205   394.3
0.0190        -331.2986    -334.9919       3.6933   391.4
0.0195        -331.3035    -334.9229       3.6193   383.6
0.0200        -331.3077    -334.8132       3.5056   371.5
0.0205        -331.3110    -334.6835       3.3725   357.4
0.0210        -331.3143    -334.5686       3.2543   344.9
0.0215        -331.3184    -334.5031       3.1846   337.5
0.0220        -331.3237    -334.5044       3.1807   337.1
0.0225        -331.3310    -334.5659       3.2349   342.8
0.0230        -331.3396    -334.6515       3.3119   351.0
0.0235        -331.3473    -334.7072       3.3599   356.1
0.0240        -331.3537    -334.6903       3.3366   353.6
0.0245        -331.3571    -334.5895       3.2324   342.6
0.0250        -331.3587    -334.4343       3.0756   325.9
0.0255        -331.3598    -334.2786       2.9187   309.3
0.0260        -331.3619    -334.1813       2.8194   298.8
0.0265        -331.3652    -334.1782       2.8129   298.1
0.0270        -331.3705    -334.2689       2.8983   307.2
0.0275        -331.3757    -334.4227       3.0469   322.9
0.0280        -331.3802    -334.6000       3.2198   341.2
0.0285        -331.3843    -334.7698       3.3855   358.8
0.0290        -331.3878    -334.9147       3.5269   373.8
0.0295        -331.3910    -335.0301       3.6391   385.7
0.0300        -331.3955    -335.1167       3.7212   394.4
0.0305        -331.4006    -335.1740       3.7734   399.9
0.0310        -331.4070    -335.2004       3.7934   402.0
0.0315        -331.4131    -335.1908       3.7777   400.3
0.0320        -331.4197    -335.1503       3.7306   395.4
0.0325        -331.4268    -335.0893       3.6625   388.1
0.0330        -331.4337    -335.0216       3.5879   380.2
0.0335        -331.4414    -334.9662       3.5249   373.6
0.0340        -331.4499    -334.9366       3.4866   369.5
0.0345        -331.4592    -334.9348       3.4756   368.3
0.0350        -331.4692    -334.9535       3.4842   369.3
0.0355        -331.4790    -334.9804       3.5014   371.1
0.0360        -331.4893    -335.0076       3.5182   372.9
0.0365        -331.4989    -335.0295       3.5306   374.2
0.0370        -331.5098    -335.0497       3.5399   375.2
0.0375        -331.5212    -335.0657       3.5445   375.6
0.0380        -331.5337    -335.0697       3.5360   374.7
0.0385        -331.5459    -335.0494       3.5035   371.3
0.0390        -331.5572    -335.0011       3.4438   365.0
0.0395        -331.5673    -334.9372       3.3699   357.1
0.0400        -331.5766    -334.8869       3.3103   350.8
0.0405        -331.5878    -334.8840       3.2962   349.3
0.0410        -331.6011    -334.9415       3.3404   354.0
0.0415        -331.6167    -335.0378       3.4211   362.6
0.0420        -331.6334    -335.1203       3.4869   369.5
0.0425        -331.6483    -335.1361       3.4878   369.6
0.0430        -331.6606    -335.0645       3.4039   360.7
0.0435        -331.6710    -334.9252       3.2542   344.9
0.0440        -331.6806    -334.7627       3.0821   326.6
0.0445        -331.6903    -334.6231       2.9328   310.8
0.0450        -331.6999    -334.5390       2.8391   300.9
0.0455        -331.7102    -334.5259       2.8157   298.4
0.0460        -331.7210    -334.5786       2.8577   302.8
0.0465        -331.7318    -334.6787       2.9468   312.3
0.0470        -331.7431    -334.8014       3.0583   324.1
0.0475        -331.7541    -334.9167       3.1626   335.2
0.0480        -331.7647    -334.9976       3.2329   342.6
0.0485        -331.7746    -335.0270       3.2524   344.7
0.0490        -331.7831    -335.0044       3.2214   341.4
0.0495        -331.7914    -334.9477       3.1563   334.5
0.0500        -331.7981    -334.8831       3.0850   326.9
0.0505        -331.8049    -334.8473       3.0424   322.4
0.0510        -331.8131    -334.8703       3.0571   324.0
0.0515        -331.8229    -334.9591       3.1362   332.4
0.0520        -331.8344    -335.0924       3.2581   345.3
0.0525        -331.8464    -335.2250       3.3785   358.0
0.0530        -331.8572    -335.3109       3.4536   366.0
0.0535        -331.8669    -335.3257       3.4587   366.5
0.0540        -331.8754    -335.2695       3.3941   359.7
0.0545        -331.8833    -335.1631       3.2798   347.6
0.0550        -331.8910    -335.0370       3.1460   333.4
0.0555        -331.8979    -334.9211       3.0232   320.4
0.0560        -331.9049    -334.8421       2.9372   311.3
0.0565        -331.9125    -334.8179       2.9054   307.9
0.0570        -331.9203    -334.8517       2.9314   310.7
0.0575        -331.9290    -334.9333       3.0043   318.4
0.0580        -331.9383    -335.0358       3.0975   328.3
0.0585        -331.9468    -335.1242       3.1774   336.7
0.0590        -331.9543    -335.1744       3.2201   341.3
0.0595        -331.9603    -335.1831       3.2228   341.5
0.0600        -331.9658    -335.1699       3.2040   339.6
0.0605        -331.9714    -335.1627       3.1913   338.2
0.0610        -331.9777    -335.1880       3.2103   340.2
0.0615        -331.9855    -335.2579       3.2724   346.8
0.0620        -331.9952    -335.3613       3.3661   356.7
0.0625        -332.0044    -335.4665       3.4621   366.9
0.0630        -332.0136    -335.5448       3.5311   374.2
0.0635        -332.0224    -335.5791       3.5567   376.9
0.0640        -332.0306    -335.5678       3.5372   374.9
0.0645        -332.0390    -335.5220       3.4830   369.1
0.0650        -332.0474    -335.4557       3.4083   361.2
0.0655        -332.0553    -335.3847       3.3295   352.9
0.0660        -332.0632    -335.3286       3.2654   346.1
0.0665        -332.0709    -335.3071       3.2362   343.0
0.0670        -332.0798    -335.3353       3.2556   345.0
0.0675        -332.0906    -335.4113       3.3207   351.9
0.0680        -332.1023    -335.5091       3.4069   361.1
0.0685        -332.1141    -335.5932       3.4790   368.7
0.0690        -332.1256    -335.6311       3.5055   371.5
0.0695        -332.1354    -335.6065       3.4711   367.9
0.0700        -332.1439    -335.5311       3.3872   359.0
0.0705        -332.1517    -335.4397       3.2880   348.4
0.0710        -332.1607    -335.3713       3.2106   340.3
0.0715        -332.1710    -335.3453       3.1742   336.4
0.0720        -332.1830    -335.3534       3.1705   336.0
0.0725        -332.1944    -335.3655       3.1710   336.1
0.0730        -332.2045    -335.3545       3.1500   333.8
0.0735        -332.2132    -335.3112       3.0981   328.3
0.0740        -332.2214    -335.2439       3.0226   320.3
0.0745        -332.2297    -335.1647       2.9350   311.0
0.0750        -332.2381    -335.0773       2.8392   300.9
0.0755        -332.2451    -334.9784       2.7332   289.7
0.0760        -332.2505    -334.8717       2.6212   277.8
0.0765        -332.2541    -334.7751       2.5210   267.2
0.0770        -332.2567    -334.7192       2.4626   261.0
0.0775        -332.2596    -334.7365       2.4768   262.5
0.0780        -332.2634    -334.8417       2.5782   273.2
0.0785        -332.2689    -335.0232       2.7543   291.9
0.0790        -332.2749    -335.2405       2.9656   314.3
0.0795        -332.2808    -335.4388       3.1580   334.7
0.0800        -332.2844    -335.5677       3.2833   348.0
0.0805        -332.2861    -335.6059       3.3198   351.8
0.0810        -332.2861    -335.5668       3.2807   347.7
0.0815        -332.2858    -335.4915       3.2056   339.7
0.0820        -332.2861    -335.4241       3.1380   332.6
0.0825        -332.2868    -335.3991       3.1123   329.8
0.0830        -332.2890    -335.4350       3.1460   333.4
0.0835        -332.2931    -335.5223       3.2292   342.2
0.0840        -332.2973    -335.6251       3.3278   352.7
0.0845        -332.3007    -335.7039       3.4031   360.7
0.0850        -332.3035    -335.7294       3.4259   363.1
0.0855        -332.3052    -335.6886       3.3834   358.6
0.0860        -332.3056    -335.5911       3.2855   348.2
0.0865        -332.3055    -335.4651       3.1596   334.9
0.0870        -332.3050    -335.3480       3.0430   322.5
0.0875        -332.3058    -335.2755       2.9697   314.7
0.0880        -332.3076    -335.2625       2.9549   313.1
0.0885        -332.3106    -335.3024       2.9918   317.1
0.0890        -332.3132    -335.3695       3.0563   323.9
0.0895        -332.3153    -335.4357       3.1205   330.7
0.0900        -332.3157    -335.4803       3.1645   335.4
0.0905        -332.3156    -335.4997       3.1840   337.4
0.0910        -332.3143    -335.5040       3.1896   338.0
0.0915        -332.3133    -335.5151       3.2019   339.3
0.0920        -332.3128    -335.5517       3.2389   343.3
0.0925        -332.3139    -335.6182       3.3043   350.2
0.0930        -332.3157    -335.6982       3.3825   358.5
0.0935        -332.3178    -335.7634       3.4456   365.2
0.0940        -332.3191    -335.7858       3.4667   367.4
0.0945        -332.3194    -335.7509       3.4315   363.7
0.0950        -332.3192    -335.6644       3.3452   354.5
0.0955        -332.3182    -335.5480       3.2297   342.3
0.0960        -332.3170    -335.4341       3.1171   330.3
0.0965        -332.3169    -335.3548       3.0379   321.9
0.0970        -332.3179    -335.3247       3.0068   318.7
0.0975        -332.3195    -335.3373       3.0178   319.8
0.0980        -332.3214    -335.3715       3.0501   323.2
0.0985        -332.3223    -335.4016       3.0793   326.3
0.0990        -332.3222    -335.4141       3.0919   327.7
0.0995        -332.3216    -335.4081       3.0865   327.1
0.1000        -332.3207    -335.3886       3.0679   325.1
0.1005        -332.3195    -335.3625       3.0430   322.5
0.1010        -332.3182    -335.3352       3.0170   319.7
0.1015        -332.3164    -335.3108       2.9943   317.3
0.1020        -332.3146    -335.2942       2.9796   315.8
0.1025        -332.3131    -335.2858       2.9727   315.0
0.1030        -332.3108    -335.2795       2.9687   314.6
0.1035        -332.3083    -335.2711       2.9628   314.0
0.1040        -332.3050    -335.2578       2.9527   312.9
0.1045        -332.3017    -335.2400       2.9383   311.4
0.1050        -332.2978    -335.2175       2.9197   309.4
0.1055        -332.2934    -335.1922       2.8987   307.2
0.1060        -332.2888    -335.1689       2.8800   305.2
0.1065        -332.2836    -335.1532       2.8696   304.1
0.1070        -332.2782    -335.1532       2.8750   304.7
0.1075        -332.2730    -335.1749       2.9020   307.5
0.1080        -332.2677    -335.2158       2.9481   312.4
0.1085        -332.2615    -335.2676       3.0062   318.6
0.1090        -332.2549    -335.3274       3.0724   325.6
0.1095        -332.2481    -335.3917       3.1436   333.2
0.1100        -332.2410    -335.4556       3.2146   340.7
0.1105        -332.2336    -335.5119       3.2783   347.4
0.1110        -332.2259    -335.5548       3.3289   352.8
0.1115        -332.2179    -335.5816       3.3637   356.5
0.1120        -332.2102    -335.5912       3.3810   358.3
0.1125        -332.2019    -335.5811       3.3792   358.1
0.1130        -332.1936    -335.5538       3.3603   356.1
0.1135        -332.1854    -335.5171       3.3317   353.1
0.1140        -332.1769    -335.4812       3.3043   350.2
0.1145        -332.1689    -335.4586       3.2897   348.6
0.1150        -332.1623    -335.4552       3.2929   349.0
0.1155        -332.1560    -335.4644       3.3084   350.6
0.1160        -332.1502    -335.4708       3.3207   351.9
0.1165        -332.1439    -335.4549       3.3109   350.9
0.1170        -332.1364    -335.4051       3.2687   346.4
0.1175        -332.1285    -335.3305       3.2020   339.3
0.1180        -332.1200    -335.2551       3.1351   332.2
0.1185        -332.1120    -335.2077       3.0957   328.1
0.1190        -332.1053    -335.2084       3.1031   328.9
0.1195        -332.0998    -335.2584       3.1586   334.7
0.1200        -332.0944    -335.3369       3.2424   343.6
0.1205        -332.0889    -335.4124       3.3235   352.2
0.1210        -332.0823    -335.4552       3.3729   357.4
0.1215        -332.0747    -335.4508       3.3760   357.8
0.1220        -332.0657    -335.4053       3.3396   353.9
0.1225        -332.0570    -335.3430       3.2859   348.2
0.1230        -332.0487    -335.2887       3.2400   343.4
0.1235        -332.0416    -335.2586       3.2170   340.9
0.1240        -332.0351    -335.2526       3.2176   341.0
0.1245        -332.0285    -335.2607       3.2322   342.5
0.1250        -332.0217    -335.2707       3.2490   344.3
0.1255        -332.0150    -335.2727       3.2577   345.2
0.1260        -332.0085    -335.2585       3.2500   344.4
0.1265        -332.0014    -335.2206       3.2192   341.2
0.1270        -331.9940    -335.1588       3.1648   335.4
0.1275        -331.9862    -335.0800       3.0939   327.9
0.1280        -331.9781    -334.9997       3.0217   320.2
0.1285        -331.9696    -334.9380       2.9684   314.6
0.1290        -331.9615    -334.9158       2.9543   313.1
0.1295        -331.9538    -334.9466       2.9928   317.2
0.1300        -331.9472    -335.0272       3.0800   326.4
0.1305        -331.9405    -335.1346       3.1941   338.5
0.1310        -331.9332    -335.2385       3.3052   350.3
0.1315        -331.9252    -335.3126       3.3874   359.0
0.1320        -331.9159    -335.3417       3.4258   363.1
0.1325        -331.9056    -335.3284       3.4228   362.7
0.1330        -331.8950    -335.2911       3.3961   359.9
0.1335        -331.8854    -335.2538       3.3684   357.0
0.1340        -331.8767    -335.2325       3.3558   355.6
0.1345        -331.8687    -335.2318       3.3632   356.4
0.1350        -331.8606    -335.2465       3.3859   358.8
0.1355        -331.8529    -335.2685       3.4155   362.0
0.1360        -331.8448    -335.2895       3.4447   365.1
0.1365        -331.8366    -335.3078       3.4712   367.9
0.1370        -331.8286    -335.3267       3.4980   370.7
0.1375        -331.8209    -335.3490       3.5281   373.9
0.1380        -331.8142    -335.3756       3.5614   377.4
0.1385        -331.8079    -335.4002       3.5923   380.7
0.1390        -331.8019    -335.4139       3.6120   382.8
0.1395        -331.7961    -335.4105       3.6144   383.0
0.1400        -331.7904    -335.3891       3.5987   381.4
0.1405        -331.7847    -335.3587       3.5740   378.8
0.1410        -331.7798    -335.3329       3.5532   376.6
0.1415        -331.7759    -335.3186       3.5427   375.4
0.1420        -331.7727    -335.3119       3.5392   375.1
0.1425        -331.7692    -335.3070       3.5377   374.9
0.1430        -331.7658    -335.3057       3.5399   375.2
0.1435        -331.7631    -335.3146       3.5515   376.4
0.1440        -331.7620    -335.3347       3.5727   378.6
0.1445        -331.7614    -335.3534       3.5921   380.7
0.1450        -331.7608    -335.3540       3.5932   380.8
0.1455        -331.7601    -335.3259       3.5658   377.9
0.1460        -331.7592    -335.2698       3.5106   372.0
0.1465        -331.7581    -335.1979       3.4398   364.5
0.1470        -331.7579    -335.1274       3.3695   357.1
0.1475        -331.7583    -335.0672       3.3088   350.7
0.1480        -331.7587    -335.0182       3.2594   345.4
0.1485        -331.7596    -334.9792       3.2196   341.2
0.1490        -331.7596    -334.9454       3.1858   337.6
0.1495        -331.7590    -334.9203       3.1613   335.0
0.1500        -331.7583    -334.9153       3.1570   334.6
0.1505        -331.7580    -334.9411       3.1832   337.3
0.1510        -331.7585    -335.0006       3.2421   343.6
0.1515        -331.7599    -335.0812       3.3213   352.0
0.1520        -331.7617    -335.1574       3.3957   359.9
0.1525        -331.7627    -335.2032       3.4405   364.6
0.1530        -331.7627    -335.2083       3.4457   365.2
0.1535        -331.7619    -335.1830       3.4211   362.6
0.1540        -331.7617    -335.1521       3.3905   359.3
0.1545        -331.7626    -335.1372       3.3746   357.6
0.1550        -331.7639    -335.1431       3.3791   358.1
0.1555        -331.7662    -335.1658       3.3996   360.3
0.1560        -331.7687    -335.1941       3.4254   363.0
0.1565        -331.7710    -335.2175       3.4465   365.3
0.1570        -331.7732    -335.2319       3.4587   366.5
0.1575        -331.7755    -335.2374       3.4620   366.9
0.1580        -331.7775    -335.2358       3.4584   366.5
0.1585        -331.7807    -335.2331       3.4524   365.9
0.1590        -331.7836    -335.2302       3.4467   365.3
0.1595        -331.7861    -335.2303       3.4442   365.0
0.1600        -331.7894    -335.2413       3.4519   365.8
0.1605        -331.7929    -335.2687       3.4758   368.4
0.1610        -331.7975    -335.3131       3.5157   372.6
0.1615        -331.8034    -335.3641       3.5608   377.4
0.1620        -331.8093    -335.4012       3.5919   380.7
0.1625        -331.8151    -335.4089       3.5938   380.9
0.1630        -331.8203    -335.3821       3.5618   377.5
0.1635        -331.8254    -335.3288       3.5034   371.3
0.1640        -331.8298    -335.2688       3.4390   364.5
0.1645        -331.8354    -335.2301       3.3948   359.8
0.1650        -331.8421    -335.2330       3.3910   359.4
0.1655        -331.8502    -335.2797       3.4295   363.4
0.1660        -331.8598    -335.3491       3.4894   369.8
0.1665        -331.8686    -335.4094       3.5407   375.2
0.1670        -331.8773    -335.4404       3.5630   377.6
0.1675        -331.8854    -335.4387       3.5533   376.6
0.1680        -331.8934    -335.4157       3.5224   373.3
0.1685        -331.9023    -335.3865       3.4842   369.2
0.1690        -331.9120    -335.3574       3.4454   365.1
0.1695        -331.9209    -335.3279       3.4070   361.1
0.1700        -331.9297    -335.3044       3.3747   357.6
0.1705        -331.9387    -335.3005       3.3617   356.3
0.1710        -331.9489    -335.3268       3.3780   358.0
0.1715        -331.9610    -335.3758       3.4148   361.9
0.1720        -331.9735    -335.4168       3.4433   364.9
0.1725        -331.9845    -335.4193       3.4348   364.0
0.1730        -331.9939    -335.3776       3.3837   358.6
0.1735        -332.0025    -335.3123       3.3097   350.8
0.1740        -332.0116    -335.2561       3.2445   343.8
0.1745        -332.0220    -335.2337       3.2117   340.4
0.1750        -332.0330    -335.2486       3.2156   340.8
0.1755        -332.0448    -335.2881       3.2433   343.7
0.1760        -332.0571    -335.3289       3.2718   346.7
0.1765        -332.0688    -335.3450       3.2762   347.2
0.1770        -332.0793    -335.3203       3.2410   343.5
0.1775        -332.0884    -335.2588       3.1704   336.0
0.1780        -332.0962    -335.1841       3.0878   327.2
0.1785        -332.1043    -335.1292       3.0249   320.6
0.1790        -332.1131    -335.1172       3.0041   318.4
0.1795        -332.1222    -335.1539       3.0317   321.3
0.1800        -332.1323    -335.2319       3.0996   328.5
0.1805        -332.1428    -335.3284       3.1856   337.6
0.1810        -332.1531    -335.4131       3.2599   345.5
0.1815        -332.1627    -335.4609       3.2982   349.5
0.1820        -332.1715    -335.4620       3.2904   348.7
0.1825        -332.1793    -335.4224       3.2431   343.7
0.1830        -332.1871    -335.3614       3.1743   336.4
0.1835        -332.1942    -335.3015       3.1073   329.3
0.1840        -332.2014    -335.2669       3.0656   324.9
0.1845        -332.2091    -335.2747       3.0656   324.9
0.1850        -332.2182    -335.3271       3.1090   329.5
0.1855        -332.2281    -335.4071       3.1790   336.9
0.1860        -332.2385    -335.4833       3.2448   343.9
0.1865        -332.2478    -335.5230       3.2752   347.1
0.1870        -332.2557    -335.5083       3.2525   344.7
0.1875        -332.2623    -335.4427       3.1804   337.0
0.1880        -332.2680    -335.3516       3.0837   326.8
0.1885        -332.2735    -335.2697       2.9962   317.5
0.1890        -332.2794    -335.2248       2.9454   312.1
0.1895        -332.2859    -335.2302       2.9443   312.0
0.1900        -332.2930    -335.2815       2.9886   316.7
0.1905        -332.3000    -335.3605       3.0605   324.3
0.1910        -332.3073    -335.4419       3.1346   332.2
0.1915        -332.3140    -335.4979       3.1839   337.4
0.1920        -332.3195    -335.5114       3.1919   338.3
0.1925        -332.3242    -335.4825       3.1583   334.7
0.1930        -332.3275    -335.4254       3.0978   328.3
0.1935        -332.3308    -335.3676       3.0367   321.8
0.1940        -332.3348    -335.3358       3.0009   318.0
0.1945        -332.3396    -335.3442       3.0046   318.4
0.1950        -332.3454    -335.3882       3.0428   322.5
0.1955        -332.3519    -335.4431       3.0912   327.6
0.1960        -332.3574    -335.4732       3.1158   330.2
0.1965        -332.3615    -335.4532       3.0917   327.6
0.1970        -332.3630    -335.3812       3.0181   319.9
0.1975        -332.3632    -335.2865       2.9232   309.8
0.1980        -332.3639    -335.2127       2.8488   301.9
0.1985        -332.3660    -335.1902       2.8242   299.3
0.1990        -332.3691    -335.2209       2.8518   302.2
0.1995        -332.3719    -335.2826       2.9106   308.5
0.2000        -332.3734    -335.3496       2.9762   315.4
0.2005        -332.3734    -335.4099       3.0365   321.8
0.2010        -332.3731    -335.4649       3.0918   327.7
0.2015        -332.3740    -335.5168       3.1429   333.1
0.2020        -332.3744    -335.5580       3.1835   337.4
0.2025        -332.3750    -335.5797       3.2047   339.6
0.2030        -332.3749    -335.5729       3.1980   338.9
0.2035        -332.3735    -335.5375       3.1641   335.3
0.2040        -332.3708    -335.4919       3.1211   330.8
0.2045        -332.3689    -335.4666       3.0977   328.3
0.2050        -332.3683    -335.4827       3.1143   330.1
0.2055        -332.3698    -335.5361       3.1663   335.6
0.2060        -332.3718    -335.5936       3.2218   341.4
0.2065        -332.3730    -335.6114       3.2384   343.2
0.2070        -332.3710    -335.5611       3.1901   338.1
0.2075        -332.3672    -335.4550       3.0879   327.2
0.2080        -332.3635    -335.3344       2.9708   314.8
0.2085        -332.3613    -335.2359       2.8747   304.6
0.2090        -332.3598    -335.1729       2.8130   298.1
0.2095        -332.3583    -335.1380       2.7797   294.6
0.2100        -332.3558    -335.1189       2.7631   292.8
0.2105        -332.3525    -335.1096       2.7571   292.2
0.2110        -332.3489    -335.1084       2.7595   292.4
0.2115        -332.3447    -335.1134       2.7686   293.4
0.2120        -332.3402    -335.1210       2.7808   294.7
0.2125        -332.3347    -335.1265       2.7919   295.9
0.2130        -332.3289    -335.1295       2.8006   296.8
0.2135        -332.3221    -335.1312       2.8091   297.7
0.2140        -332.3153    -335.1365       2.8212   299.0
0.2145        -332.3081    -335.1462       2.8380   300.8
0.2150        -332.3006    -335.1568       2.8561   302.7
0.2155        -332.2926    -335.1633       2.8707   304.2
0.2160        -332.2837    -335.1614       2.8777   305.0
0.2165        -332.2737    -335.1534       2.8797   305.2
0.2170        -332.2630    -335.1521       2.8890   306.2
0.2175        -332.2526    -335.1691       2.9165   309.1
0.2180        -332.2425    -335.2038       2.9613   313.8
0.2185        -332.2322    -335.2399       3.0077   318.7
0.2190        -332.2210    -335.2571       3.0362   321.8
0.2195        -332.2080    -335.2478       3.0398   322.2
0.2200        -332.1945    -335.2224       3.0279   320.9
0.2205        -332.1806    -335.2008       3.0202   320.1
0.2210        -332.1670    -335.2030       3.0360   321.7
0.2215        -332.1541    -335.2393       3.0852   327.0
0.2220        -332.1414    -335.3071       3.1657   335.5
0.2225        -332.1286    -335.3918       3.2632   345.8
0.2230        -332.1157    -335.4727       3.3570   355.8
0.2235        -332.1024    -335.5260       3.4236   362.8
0.2240        -332.0880    -335.5324       3.4443   365.0
0.2245        -332.0730    -335.4892       3.4163   362.0
0.2250        -332.0572    -335.4108       3.3537   355.4
0.2255        -332.0421    -335.3259       3.2838   348.0
0.2260        -332.0278    -335.2607       3.2329   342.6
0.2265        -332.0148    -335.2302       3.2154   340.8
0.2270        -332.0025    -335.2333       3.2308   342.4
0.2275        -331.9902    -335.2550       3.2648   346.0
0.2280        -331.9778    -335.2722       3.2945   349.1
0.2285        -331.9644    -335.2637       3.2993   349.7
0.2290        -331.9502    -335.2220       3.2718   346.7
0.2295        -331.9352    -335.1550       3.2198   341.2
0.2300        -331.9197    -335.0840       3.1643   335.3
0.2305        -331.9055    -335.0374       3.1319   331.9
0.2310        -331.8917    -335.0341       3.1425   333.0
0.2315        -331.8789    -335.0794       3.2005   339.2
0.2320        -331.8663    -335.1600       3.2938   349.1
0.2325        -331.8535    -335.2527       3.3992   360.2
0.2330        -331.8400    -335.3322       3.4922   370.1
0.2335        -331.8259    -335.3801       3.5542   376.7
0.2340        -331.8114    -335.3891       3.5777   379.2
0.2345        -331.7967    -335.3656       3.5689   378.2
0.2350        -331.7825    -335.3244       3.5419   375.4
0.2355        -331.7690    -335.2802       3.5112   372.1
0.2360        -331.7562    -335.2441       3.4879   369.6
0.2365        -331.7441    -335.2242       3.4801   368.8
0.2370        -331.7321    -335.2246       3.4924   370.1
0.2375        -331.7210    -335.2456       3.5245   373.5
0.2380        -331.7105    -335.2775       3.5669   378.0
0.2385        -331.7005    -335.3042       3.6038   381.9
0.2390        -331.6903    -335.3095       3.6192   383.6
0.2395        -331.6806    -335.2822       3.6016   381.7
0.2400        -331.6704    -335.2170       3.5465   375.9
0.2405        -331.6598    -335.1216       3.4618   366.9
0.2410        -331.6492    -335.0200       3.3708   357.2
0.2415        -331.6393    -334.9434       3.3041   350.2
0.2420        -331.6316    -334.9144       3.2828   347.9
0.2425        -331.6252    -334.9317       3.3065   350.4
0.2430        -331.6190    -334.9739       3.3550   355.5
0.2435        -331.6119    -335.0147       3.4027   360.6
0.2440        -331.6043    -335.0382       3.4339   363.9
0.2445        -331.5960    -335.0437       3.4477   365.4
0.2450        -331.5886    -335.0382       3.4496   365.6
0.2455        -331.5819    -335.0231       3.4412   364.7
0.2460        -331.5754    -334.9946       3.4192   362.4
0.2465        -331.5692    -334.9492       3.3800   358.2
0.2470        -331.5615    -334.8906       3.3291   352.8
0.2475        -331.5545    -334.8370       3.2825   347.9
0.2480        -331.5469    -334.8069       3.2600   345.5
0.2485        -331.5406    -334.8190       3.2784   347.4
0.2490        -331.5356    -334.8745       3.3389   353.9
0.2495        -331.5313    -334.9533       3.4220   362.7
0.2500        -331.5268    -335.0234       3.4966   370.6
0.2505        -331.5218    -335.0558       3.5339   374.5
0.2510        -331.5148    -335.0386       3.5238   373.4
0.2515        -331.5080    -334.9887       3.4807   368.9
0.2520        -331.5014    -334.9338       3.4323   363.7
0.2525        -331.4962    -334.8998       3.4036   360.7
0.2530        -331.4917    -334.8982       3.4064   361.0
0.2535        -331.4876    -334.9298       3.4422   364.8
0.2540        -331.4839    -334.9922       3.5082   371.8
0.2545        -331.4813    -335.0792       3.5979   381.3
0.2550        -331.4800    -335.1736       3.6936   391.4
0.2555        -331.4793    -335.2452       3.7658   399.1
0.2560        -331.4782    -335.2634       3.7853   401.2
0.2565        -331.4757    -335.2175       3.7418   396.5
0.2570        -331.4725    -335.1278       3.6553   387.4
0.2575        -331.4697    -335.0369       3.5673   378.0
0.2580        -331.4685    -334.9875       3.5190   372.9
0.2585        -331.4702    -334.9994       3.5292   374.0
0.2590        -331.4739    -335.0563       3.5823   379.6
0.2595        -331.4772    -335.1193       3.6421   386.0
0.2600        -331.4802    -335.1550       3.6748   389.5
0.2605        -331.4822    -335.1487       3.6666   388.6
0.2610        -331.4843    -335.1080       3.6237   384.0
0.2615        -331.4872    -335.0466       3.5594   377.2
0.2620        -331.4905    -334.9775       3.4870   369.5
0.2625        -331.4933    -334.9154       3.4221   362.7
0.2630        -331.4972    -334.8794       3.3822   358.4
0.2635        -331.5021    -334.8775       3.3754   357.7
0.2640        -331.5076    -334.9044       3.3968   360.0
0.2645        -331.5130    -334.9478       3.4347   364.0
0.2650        -331.5196    -334.9928       3.4732   368.1
0.2655        -331.5258    -335.0206       3.4947   370.4
0.2660        -331.5317    -335.0196       3.4879   369.6
0.2665        -331.5364    -334.9928       3.4564   366.3
0.2670        -331.5412    -334.9600       3.4188   362.3
0.2675        -331.5469    -334.9436       3.3967   360.0
0.2680        -331.5538    -334.9532       3.3994   360.3
0.2685        -331.5617    -334.9822       3.4206   362.5
