# a0[Å], E_Au[eV], E_Pt[eV], E_Rh[eV]
3.8065326633, -2.2638990608, -6.2180950736, -7.2998229605
3.8115577889, -2.2933848795, -6.2324890431, -7.3019715786
3.8165829146, -2.3221216321, -6.2462647939, -7.3036946545
3.8216080402, -2.3502290287, -6.2595014337, -7.3050789468
3.8266331658, -2.3776426777, -6.2721634606, -7.3060767238
3.8316582915, -2.4045122407, -6.2843422824, -7.3067836170
3.8366834171, -2.4306188596, -6.2959013469, -7.3070464694
3.8417085427, -2.4561703677, -6.3069834723, -7.3070328087
3.8467336683, -2.4811404580, -6.3175762567, -7.3066954608
3.8517587940, -2.5053993355, -6.3275722012, -7.3059360662
3.8567839196, -2.5291422688, -6.3371249147, -7.3049117176
3.8618090452, -2.5522818695, -6.3461777192, -7.3035647142
3.8668341709, -2.5748093017, -6.3547230630, -7.3018827009
3.8718592965, -2.5967324682, -6.3627524594, -7.2998360728
3.8768844221, -2.6181896711, -6.3703775269, -7.2975744957
3.8819095477, -2.6390215510, -6.3774844724, -7.2949471981
3.8869346734, -2.6593281240, -6.3841654723, -7.2920664541
3.8919597990, -2.6791491627, -6.3904225194, -7.2889284902
3.8969849246, -2.6983106072, -6.3961281655, -7.2853757343
3.9020100503, -2.7171115267, -6.4015248997, -7.2816871631
3.9070351759, -2.7352904046, -6.4064046105, -7.2776247831
3.9120603015, -2.7529920168, -6.4108817825, -7.2733045584
3.9170854271, -2.7701874001, -6.4149299907, -7.2687033109
3.9221105528, -2.7869709676, -6.4186325826, -7.2639154145
3.9271356784, -2.8031746651, -6.4218591619, -7.2587935821
3.9321608040, -2.8189237683, -6.4247006515, -7.2534263198
3.9371859296, -2.8342527533, -6.4271897756, -7.2478502868
3.9422110553, -2.8491421404, -6.4293011464, -7.2420388336
3.9472361809, -2.8634864378, -6.4309735000, -7.2359117921
3.9522613065, -2.8774734942, -6.4323319862, -7.2296202577
3.9572864322, -2.8909781099, -6.4332895717, -7.2230424428
3.9623115578, -2.9040821073, -6.4339093169, -7.2162681578
3.9673366834, -2.9167523576, -6.4341775463, -7.2092699728
3.9723618090, -2.9290032134, -6.4340924837, -7.2020359420
3.9773869347, -2.9408315438, -6.4336619359, -7.1945851735
3.9824120603, -2.9522982784, -6.4329172802, -7.1869487121
