a0, energy
3.4000000000, 3.6282371898
3.8000000000, -2.2246009375
4.2000000000, -3.1438708270
4.6000000000, -2.7001834110
5.0000000000, -2.0291129773
5.4000000000, -1.4429874606
5.8000000000, -1.0022829741
6.2000000000, -0.6897205125
6.6000000000, -0.4739222247
7.0000000000, -0.3266929087
